url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://huongnghiep.hocmai.vn/hoc-phi-dai-hoc-bach-khoa-ha-noi-2026-2027-chi-tiet-muc-thu-moi-nhat-cho-tung-chuong-trinh-dao-tao,hoc-phi-hust-2026,Học phí Đại học Bách khoa Hà Nội 2026-2027,student,academic-affairs,tuition,vi,2026-08-03,public-source
https://laodong.vn/giao-duc/dai-hoc-kinh-te-quoc-dan-tang-hoc-phi-nam-2026-1664079.ldo,hoc-phi-neu-2026,Đại học Kinh tế Quốc dân tăng học phí năm 2026,all,finance,tuition,vi,2026-03-05,public-source
https://tuoitre.vn/truong-dai-hoc-ngoai-thuong-du-kien-tang-hoc-phi-20250508110323884.htm,hoc-phi-ftu-2025,Trường đại học Ngoại thương dự kiến tăng học phí,student,academic-affairs,tuition,vi,2025-05-08,public-source
https://jobtest.vn/hrblog/hoc-phi-dai-hoc-fpt,hoc-phi-fpt-2026,Học phí Đại học FPT 2026 - 2027,student,admission,tuition,vi,2026-06-06,public-source
https://laodong.vn/tuyen-sinh/hoc-phi-truong-dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-nam-2025-1554324.ldo,hoc-phi-uet-2025,Học phí Trường Đại học Công nghệ ĐHQGHN năm 2025,all,academic-affairs,tuition,vi,2025-08-09,public-source
https://laodong.vn/tuyen-sinh/chi-tiet-hoc-phi-truong-dai-hoc-ha-noi-nam-2026-1662100.ldo,hoc-phi-hanu-2026,Chi tiết học phí Trường Đại học Hà Nội năm 2026,student,academic-affairs,tuition,vi,2026-04-12,public-source
https://laodong.vn/tuyen-sinh/hoc-phi-truong-dai-hoc-thuong-mai-nam-2026-1659800.ldo,hoc-phi-tmu-2026,Học phí Trường Đại học Thương mại năm 2026,all,finance,tuition,vi,2026-05-10,public-source
https://laodong.vn/tuyen-sinh/hoc-phi-hoc-vien-cong-nghe-buu-chinh-vien-thong-nam-2026-1661200.ldo,hoc-phi-ptit-2026,Học phí Học viện Công nghệ Bưu chính Viễn thông năm 2026,student,academic-affairs,tuition,vi,2026-05-18,public-source
https://laodong.vn/tuyen-sinh/hoc-phi-hoc-vien-tai-chinh-nam-2026-1660500.ldo,hoc-phi-aof-2026,Học phí Học viện Tài chính năm 2026,student,finance,tuition,vi,2026-04-20,public-source
https://laodong.vn/tuyen-sinh/muc-hoc-phi-truong-dai-hoc-y-ha-noi-nam-2026-1658900.ldo,hoc-phi-hmu-2026,Mức học phí Trường Đại học Y Hà Nội năm 2026,all,academic-affairs,tuition,vi,2026-05-02,public-source
